time,weather,dimensions,structural_edge_correlation,production_bytes,asset
morning,clear,1536x1536,0.8809,315010,/assets/bosco/decors/morning/clear.webp
morning,mainly-clear,1536x1536,0.7913,338684,/assets/bosco/decors/morning/mainly-clear.webp
morning,partly-cloudy,1536x1536,0.7844,253412,/assets/bosco/decors/morning/partly-cloudy.webp
morning,overcast,1536x1536,0.8131,258342,/assets/bosco/decors/morning/overcast.webp
morning,fog,1536x1536,0.8102,238510,/assets/bosco/decors/morning/fog.webp
morning,drizzle,1536x1536,0.8356,206124,/assets/bosco/decors/morning/drizzle.webp
morning,rain,1536x1536,0.8242,252128,/assets/bosco/decors/morning/rain.webp
morning,heavy-rain,1536x1536,0.7597,263758,/assets/bosco/decors/morning/heavy-rain.webp
morning,snow,1536x1536,0.8018,229536,/assets/bosco/decors/morning/snow.webp
morning,storm,1536x1536,0.8691,207454,/assets/bosco/decors/morning/storm.webp
day,clear,1536x1536,1.0000,224108,/assets/bosco/decors/day/clear.webp
day,mainly-clear,1536x1536,0.9236,232392,/assets/bosco/decors/day/mainly-clear.webp
day,partly-cloudy,1536x1536,0.9158,229210,/assets/bosco/decors/day/partly-cloudy.webp
day,overcast,1536x1536,0.9165,238888,/assets/bosco/decors/day/overcast.webp
day,fog,1536x1536,0.9193,198166,/assets/bosco/decors/day/fog.webp
day,drizzle,1536x1536,0.9310,199242,/assets/bosco/decors/day/drizzle.webp
day,rain,1536x1536,0.9285,226528,/assets/bosco/decors/day/rain.webp
day,heavy-rain,1536x1536,0.8824,285848,/assets/bosco/decors/day/heavy-rain.webp
day,snow,1536x1536,0.9253,237356,/assets/bosco/decors/day/snow.webp
day,storm,1536x1536,0.9305,219286,/assets/bosco/decors/day/storm.webp
evening,clear,1536x1536,0.9118,251302,/assets/bosco/decors/evening/clear.webp
evening,mainly-clear,1536x1536,0.8034,232316,/assets/bosco/decors/evening/mainly-clear.webp
evening,partly-cloudy,1536x1536,0.8006,299998,/assets/bosco/decors/evening/partly-cloudy.webp
evening,overcast,1536x1536,0.8038,210898,/assets/bosco/decors/evening/overcast.webp
evening,fog,1536x1536,0.7964,174308,/assets/bosco/decors/evening/fog.webp
evening,drizzle,1536x1536,0.8260,231690,/assets/bosco/decors/evening/drizzle.webp
evening,rain,1536x1536,0.8084,248802,/assets/bosco/decors/evening/rain.webp
evening,heavy-rain,1536x1536,0.7570,287590,/assets/bosco/decors/evening/heavy-rain.webp
evening,snow,1536x1536,0.8654,192482,/assets/bosco/decors/evening/snow.webp
evening,storm,1536x1536,0.8083,284752,/assets/bosco/decors/evening/storm.webp
night,clear,1536x1536,0.7902,302962,/assets/bosco/decors/night/clear.webp
night,mainly-clear,1536x1536,0.6676,286342,/assets/bosco/decors/night/mainly-clear.webp
night,partly-cloudy,1536x1536,0.3102,255540,/assets/bosco/decors/night/partly-cloudy.webp
night,overcast,1536x1536,0.6763,182994,/assets/bosco/decors/night/overcast.webp
night,fog,1536x1536,0.6586,246000,/assets/bosco/decors/night/fog.webp
night,drizzle,1536x1536,0.7076,207034,/assets/bosco/decors/night/drizzle.webp
night,rain,1536x1536,0.6724,268564,/assets/bosco/decors/night/rain.webp
night,heavy-rain,1536x1536,0.7095,318342,/assets/bosco/decors/night/heavy-rain.webp
night,snow,1536x1536,0.7160,292170,/assets/bosco/decors/night/snow.webp
night,storm,1536x1536,0.6950,317064,/assets/bosco/decors/night/storm.webp
